,precision,recall,f1-score,support
-60.0,0.5777777777777777,0.7663755458515283,0.65884561238855,916.0
-45.0,0.6568627450980392,0.585792349726776,0.6192952050837666,915.0
-30.0,0.645293315143247,0.514689880304679,0.572639225181598,919.0
-15.0,0.6775956284153005,0.667384284176534,0.6724511930585684,929.0
0.0,0.9418132611637348,0.928,0.9348556077904634,750.0
15.0,0.6461538461538462,0.6329386437029063,0.6394779771615008,929.0
30.0,0.6441136671177267,0.5179542981501633,0.5741857659831122,919.0
45.0,0.6433734939759036,0.5836065573770491,0.6120343839541548,915.0
60.0,0.5590421139554087,0.7390829694323144,0.6365773389750823,916.0
accuracy,0.6539220522940306,0.6539220522940306,0.6539220522940306,0.6539220522940306
macro avg,0.665780649866776,0.6595360587468835,0.6578180343974218,8108.0
weighted avg,0.6601050078965995,0.6539220522940306,0.6520880697183579,8108.0
