feature,extra_trees_aoa_importance,xgboost_distance_importance
frequency_mhz,0.0,0.0
pair13_power1,0.015083934878655563,0.010336203
pair13_power2,0.01918717530275083,0.049501017
pair13_rssi1,0.014452505776697799,0.012623618
pair13_rssi2,0.01853562697675852,0.00845357
pair13_rssi_mean,0.016768306658855398,0.018284539
pair13_rssi_diff,0.015450662451502364,0.014441359
pair13_power_ratio,0.0141718020153485,0.02899184
pair13_power_diff,0.013945433904513546,0.034683507
pair13_phase_diff_mean,0.005096803020604671,0.0023297938
pair13_phase_diff_median,0.005473210950473349,0.0018251095
pair13_phase_diff_std,0.029913483275074305,0.0021940912
pair13_unwrap_phase_mean,0.005876515029611177,0.0016373699
pair13_unwrap_phase_median,0.0055482636301013135,0.00114059
pair13_unwrap_phase_std,0.011508183287002085,0.0013185969
pair13_R11_real,0.014708783853321613,0.002673758
pair13_R12_real,0.007470884168698057,0.009841783
pair13_R12_imag,0.005460438074123841,0.0013571328
pair13_R22_real,0.018779251564351705,0.045368835
pair13_cov_phase,0.0049264660904247805,0.001310461
pair13_corr_peak,0.007640857547153618,0.003071257
pair13_aoa_physics_deg,0.004972948569309,0.0023553374
pair14_power1,0.01254188981486565,0.017903011
pair14_power2,0.021809334180119783,0.017814202
pair14_rssi1,0.01114050523229027,0.025886543
pair14_rssi2,0.01878896598941001,0.025586544
pair14_rssi_mean,0.013740013809806885,0.018754479
pair14_rssi_diff,0.013996045134816344,0.023337973
pair14_power_ratio,0.013551533640368492,0.021671478
pair14_power_diff,0.014331467126311429,0.18147172
pair14_phase_diff_mean,0.00491886575770159,0.0016872905
pair14_phase_diff_median,0.005002022709158352,0.0015831776
pair14_phase_diff_std,0.035895008219867595,0.0021347685
pair14_unwrap_phase_mean,0.004719063401851044,0.0010738116
pair14_unwrap_phase_median,0.004579720723456412,0.0012967837
pair14_unwrap_phase_std,0.010114893259410783,0.0015054645
pair14_R11_real,0.012088327533069957,0.025256235
pair14_R12_real,0.005981137407867792,0.0060332385
pair14_R12_imag,0.004975288164093951,0.001708797
pair14_R22_real,0.020597089400118007,0.002461002
pair14_cov_phase,0.004672201111841606,0.0014652201
pair14_corr_peak,0.007304432868810349,0.006951031
pair14_aoa_physics_deg,0.0047713321744741995,0.0015263635
pair23_power1,0.01452430537602804,0.0066625965
pair23_power2,0.01492125304055339,0.020573309
pair23_rssi1,0.013830030376788396,0.0063927257
pair23_rssi2,0.01331590287060208,0.019901417
pair23_rssi_mean,0.014974468061066828,0.007390535
pair23_rssi_diff,0.007484429792746903,0.020063084
pair23_power_ratio,0.007170763749583687,0.011280035
pair23_power_diff,0.008043107429292146,0.027974399
pair23_phase_diff_mean,0.004818939822789147,0.0030785063
pair23_phase_diff_median,0.005804498782200531,0.02697301
pair23_phase_diff_std,0.035442181327580195,0.010970686
pair23_unwrap_phase_mean,0.005533155466828874,0.0027190493
pair23_unwrap_phase_median,0.005276647384140883,0.0022969304
pair23_unwrap_phase_std,0.010274433001762605,0.0017576404
pair23_R11_real,0.01488678783774168,0.009316981
pair23_R12_real,0.005956497436450427,0.0023619118
pair23_R12_imag,0.004948214335035524,0.0030337737
pair23_R22_real,0.01525624237376975,0.005886612
pair23_cov_phase,0.004735824919774091,0.002059967
pair23_corr_peak,0.009775428371539323,0.01534338
pair23_aoa_physics_deg,0.004738766369931394,0.002413436
pair24_power1,0.022964972112380123,0.011612364
pair24_power2,0.017749975302908064,0.011349897
pair24_rssi1,0.022479240590672456,0.007724408
pair24_rssi2,0.01751105215286502,0.008993797
pair24_rssi_mean,0.022647229165318365,0.028023042
pair24_rssi_diff,0.012557396560651754,0.004284933
pair24_power_ratio,0.011484153242829,0.004840247
pair24_power_diff,0.01252603407068757,0.0031007126
pair24_phase_diff_mean,0.005404245377275779,0.001436382
pair24_phase_diff_median,0.006053600024397692,0.019380987
pair24_phase_diff_std,0.03615806331650307,0.0048800805
pair24_unwrap_phase_mean,0.00654152115409179,0.007198004
pair24_unwrap_phase_median,0.006128909963979535,0.0022636577
pair24_unwrap_phase_std,0.010093498875695443,0.0026620692
pair24_R11_real,0.022248320176061268,0.017282588
pair24_R12_real,0.005743854714972233,0.0029577587
pair24_R12_imag,0.004860085391455634,0.0014321055
pair24_R22_real,0.017913847135733976,0.0028470133
pair24_cov_phase,0.004549215268631534,0.0016425826
pair24_corr_peak,0.006975107305461028,0.005429061
pair24_aoa_physics_deg,0.005207125286180162,0.0013594115
