feature,extra_trees_aoa_importance,xgboost_distance_importance
frequency_mhz,0.0,0.0
pair13_power1,0.015025629944735278,0.009480211
pair13_power2,0.01942763126306896,0.046595354
pair13_rssi1,0.014299968243743067,0.008581607
pair13_rssi2,0.01840769990468178,0.007208749
pair13_rssi_mean,0.016814359925345225,0.018161817
pair13_rssi_diff,0.01542286525301175,0.013093687
pair13_power_ratio,0.014231352337417208,0.020602362
pair13_power_diff,0.014045977728532007,0.03285969
pair13_phase_diff_mean,0.005089971165489284,0.0021183246
pair13_phase_diff_median,0.0054606472302208865,0.001801628
pair13_phase_diff_std,0.030409248031071288,0.0020925824
pair13_unwrap_phase_mean,0.005862187246997304,0.0016238461
pair13_unwrap_phase_median,0.005524519796791919,0.0013857277
pair13_unwrap_phase_std,0.01185140463922677,0.0011237956
pair13_R11_real,0.014756628307762207,0.0026664124
pair13_R12_real,0.007480691348143961,0.010117059
pair13_R12_imag,0.005434153664694597,0.001370686
pair13_R22_real,0.018783120345836502,0.03869637
pair13_cov_phase,0.004906984479901484,0.0015686634
pair13_corr_peak,0.007641368129504952,0.0030966557
pair13_aoa_physics_deg,0.004956595099847473,0.0038974101
pair14_power1,0.012551153143150194,0.020337349
pair14_power2,0.02152851651188283,0.017462736
pair14_rssi1,0.011321988274070336,0.020378249
pair14_rssi2,0.01867817952200018,0.025545916
pair14_rssi_mean,0.013880813783240822,0.017522046
pair14_rssi_diff,0.013831361622057812,0.021205077
pair14_power_ratio,0.013556155331860054,0.019742997
pair14_power_diff,0.014395020131275787,0.16148692
pair14_phase_diff_mean,0.004913983057253845,0.0015880238
pair14_phase_diff_median,0.004992161480356963,0.0016583588
pair14_phase_diff_std,0.036310130793662666,0.0030979018
pair14_unwrap_phase_mean,0.0047221891456745695,0.0012754679
pair14_unwrap_phase_median,0.004613661768339357,0.001434484
pair14_unwrap_phase_std,0.010067789656272117,0.0016269749
pair14_R11_real,0.012335214505889822,0.048696008
pair14_R12_real,0.005947057832451748,0.006095301
pair14_R12_imag,0.004969590358973177,0.0014301515
pair14_R22_real,0.02026308959434936,0.03591145
pair14_cov_phase,0.004672964231100609,0.0014966406
pair14_corr_peak,0.007308521233966175,0.0070229126
pair14_aoa_physics_deg,0.0047594820683467855,0.0028117094
pair23_power1,0.014544261465408758,0.006928366
pair23_power2,0.014812186983312573,0.019632287
pair23_rssi1,0.013742912300603568,0.005209885
pair23_rssi2,0.01339216774002287,0.017256062
pair23_rssi_mean,0.014893366494801472,0.007906136
pair23_rssi_diff,0.007505092867450653,0.020387247
pair23_power_ratio,0.007185053723985653,0.01672783
pair23_power_diff,0.008019960490005716,0.026058754
pair23_phase_diff_mean,0.004805954560380813,0.0028177951
pair23_phase_diff_median,0.005806967622568578,0.025846172
pair23_phase_diff_std,0.034273510132994754,0.011292131
pair23_unwrap_phase_mean,0.005562834240782038,0.0025745586
pair23_unwrap_phase_median,0.005274939573897542,0.0024343263
pair23_unwrap_phase_std,0.010216832133255988,0.0017967476
pair23_R11_real,0.014985828458947503,0.0038289959
pair23_R12_real,0.005944498449203426,0.0023504281
pair23_R12_imag,0.0049259052669376234,0.002952709
pair23_R22_real,0.015327692864858028,0.0029930088
pair23_cov_phase,0.004761132435481465,0.002114957
pair23_corr_peak,0.009742438789911531,0.013856177
pair23_aoa_physics_deg,0.004751666658079656,0.0028505614
pair24_power1,0.02262830945677847,0.0108141685
pair24_power2,0.017798683581081286,0.011441219
pair24_rssi1,0.022559661182767428,0.0104134185
pair24_rssi2,0.017409435825341674,0.006686574
pair24_rssi_mean,0.02270584904111333,0.027814262
pair24_rssi_diff,0.012553111587843715,0.003490906
pair24_power_ratio,0.011518190902469784,0.004884538
pair24_power_diff,0.012534203086657198,0.002718135
pair24_phase_diff_mean,0.005387456699074049,0.0014229399
pair24_phase_diff_median,0.006110109079128904,0.015250387
pair24_phase_diff_std,0.03567919924027345,0.0046563586
pair24_unwrap_phase_mean,0.006522213998402934,0.0063108983
pair24_unwrap_phase_median,0.006114075086373694,0.0020844624
pair24_unwrap_phase_std,0.011135507980258887,0.0018711174
pair24_R11_real,0.022173142498046715,0.030386282
pair24_R12_real,0.005758247044252948,0.0029943502
pair24_R12_imag,0.00486622978050328,0.0015313517
pair24_R22_real,0.017864883576472094,0.0028385697
pair24_cov_phase,0.004569940662707437,0.001657051
pair24_corr_peak,0.006985102168327372,0.005479948
pair24_aoa_physics_deg,0.005199216137036036,0.0014686772
