feature,importance
pair24_power1_std,0.033579408397357874
pair24_rssi2_std,0.02935204140470427
pair14_rssi_mean_std,0.028593063794069777
pair14_rssi2_std,0.027964551168618047
pair23_rssi2_std,0.02751635822050255
pair24_power2_std,0.026823723418760406
pair14_power_diff_median,0.026005412775684245
pair14_power2_min,0.02262144633350796
pair14_power_diff_mean,0.02213903430955614
pair24_rssi1_std,0.021135696044833948
pair14_rssi_mean_min,0.02056786421099397
pair24_rssi_mean_std,0.01958296227966404
pair23_rssi_diff_median,0.01869002617883906
pair13_power_diff_median,0.018294357068448557
pair14_power_ratio_std,0.017101668330418734
pair23_power_ratio_median,0.016489097389549442
pair14_power1_std,0.016360901991931468
pair23_power_ratio_mean,0.01629724796099875
pair14_rssi_diff_median,0.014777053464120182
pair14_rssi2_min,0.014039927396995123
pair14_rssi1_std,0.01393890291966371
pair14_rssi_diff_mean,0.013930311894332196
pair23_rssi_mean_std,0.0126249812800409
pair14_power_ratio_median,0.012122896316120419
pair14_power_ratio_mean,0.012025150432172881
pair13_power2_median,0.01056779637499589
pair13_power2_min,0.010219262765311923
pair23_power_diff_median,0.01017169751509571
pair14_rssi_diff_max,0.010101992129159484
pair23_rssi_diff_mean,0.00980162261825502
pair23_power2_std,0.009534875274661169
pair13_rssi2_median,0.009171623832034473
pair24_power1_max,0.008858001486172775
pair14_power2_std,0.008587768675756143
pair24_rssi1_max,0.00856603946957939
pair14_rssi2_median,0.008091096434806568
pair14_rssi_mean_median,0.008014695334161116
pair13_rssi_mean_mean,0.007575359693965866
pair13_power_diff_mean,0.007529762935574132
pair23_power1_max,0.0073281935860189185
pair13_rssi_diff_median,0.007286493276740475
pair13_rssi2_mean,0.007173133534209716
pair14_rssi_mean_max,0.007119022732101774
pair13_rssi2_min,0.006775674845604602
pair24_rssi2_median,0.006721597613120783
pair14_rssi1_min,0.0065300471062633625
pair23_rssi_mean_max,0.006102901101689933
pair24_rssi_mean_max,0.0060960856443155985
pair23_power_diff_mean,0.005962896334785801
pair13_power_ratio_mean,0.00538994247844536
pair13_power2_mean,0.0052770780076444755
pair24_rssi_mean_median,0.005249244718232519
pair13_power1_max,0.0050611545430832745
pair13_rssi1_median,0.004999292320430722
pair13_power1_median,0.004995534279585556
pair24_power1_mean,0.004946190245696474
pair24_rssi_mean_mean,0.004892667874764084
pair23_rssi1_max,0.004748516461007529
num_windows,0.004732396991737723
pair24_rssi1_median,0.0046985444479721635
pair24_rssi2_max,0.004589513443516822
pair14_power_diff_max,0.004558755020524005
pair24_power2_mean,0.004534265781376254
pair14_power1_max,0.004458031593802107
pair14_power1_min,0.004429718769021599
pair24_power2_max,0.004368418139182451
pair23_rssi1_std,0.004319709898952306
pair24_power2_median,0.00428008182902298
pair13_rssi_diff_mean,0.004276653841665049
pair24_rssi1_mean,0.004158809254784207
pair13_rssi2_std,0.004126551314469657
pair14_rssi_diff_min,0.004055310512097663
pair14_rssi2_mean,0.003960137076964074
pair14_rssi1_max,0.003899285845550228
pair14_power1_median,0.0038550045110652903
pair23_power1_std,0.0038261899464857407
pair23_power_diff_max,0.0037597982050052337
pair24_power2_min,0.003595060101016451
pair14_power2_median,0.0035733322496357954
pair24_power_diff_mean,0.0035146491974284246
pair24_power_diff_median,0.0034739444021575265
pair24_rssi_diff_mean,0.003458463111058446
pair23_power2_max,0.003453352415167023
pair23_rssi2_median,0.0033524990571788867
pair23_rssi_diff_std,0.003302246584542432
pair13_power_ratio_median,0.003252408785800976
pair14_power1_mean,0.0032081492204761915
pair24_rssi1_min,0.0031351730034534925
pair24_rssi2_min,0.003091719224571666
pair14_power_ratio_max,0.0030346024511619185
pair13_rssi_mean_median,0.003032818322325333
pair14_power_ratio_min,0.00299091450364417
pair24_rssi_mean_min,0.002990513422060938
pair14_power_diff_std,0.0029793239688123262
pair23_rssi2_max,0.0029739288642258743
pair24_power_ratio_mean,0.0029487279587923324
pair24_power1_median,0.0028844362785772986
pair14_power2_max,0.0028527852191762063
pair13_power_diff_std,0.002826415860420406
pair14_rssi1_mean,0.0026953226605894633
pair24_rssi2_mean,0.0026810174202715584
pair24_power1_min,0.002674751795603012
pair24_power_ratio_min,0.0026588463169586046
pair13_rssi_mean_min,0.002637265648746358
pair13_rssi1_max,0.0026219581446740065
pair24_rssi_diff_median,0.002588501046428791
pair14_rssi1_median,0.002560699629268021
pair24_power_diff_max,0.002526444767097365
pair24_rssi_diff_std,0.002505814232931032
pair14_power2_mean,0.002453149739849004
pair23_rssi1_median,0.002410852761262652
pair13_rssi_mean_max,0.002373393154790809
pair14_power_diff_min,0.0023222911936097994
pair13_power1_std,0.0022272299060087488
pair13_power1_mean,0.0021927652410541564
pair24_power_ratio_median,0.002181875765308605
pair23_power_ratio_min,0.002074808115281281
pair24_power_diff_std,0.0020234583833123685
pair13_rssi2_max,0.0020038200250101787
pair23_power2_median,0.0019188463800724365
pair23_rssi_diff_min,0.0018993637287646665
pair13_rssi_mean_std,0.0018897388505270517
pair13_power_ratio_std,0.0018636423829079122
pair13_power_ratio_max,0.0018578297477226528
pair13_rssi1_min,0.0018338245131240157
pair23_rssi2_mean,0.001792762320612887
pair24_rssi_diff_min,0.0017708747278111685
pair23_power_diff_min,0.0017175750895442588
pair13_power1_min,0.0017123396637527739
pair23_rssi1_mean,0.001703670163588267
pair23_power_ratio_std,0.0016201971184400918
pair13_rssi1_mean,0.0015970574216056148
pair24_power_ratio_max,0.0015792502321730821
pair23_rssi_diff_max,0.0015649296044120964
pair13_power_diff_min,0.0015402394564877843
pair23_power_ratio_max,0.0015320577881606304
pair13_rssi_diff_max,0.0015290291282087421
pair13_power2_max,0.001485432470623234
pair23_power_diff_std,0.0014813327656231503
pair14_rssi_diff_std,0.0014218707364206016
pair14_rssi_mean_mean,0.0013972928323355376
pair24_power_ratio_std,0.0013943472019489543
pair23_power1_mean,0.0013889540434609627
pair24_rssi_diff_max,0.0013881528067303422
pair23_power1_min,0.0013350584301780402
pair23_power2_mean,0.0013184529719089011
pair23_power2_min,0.0012867963696276932
pair13_rssi_diff_min,0.0011696180126077882
pair23_power1_median,0.0011521954285617635
pair23_rssi_mean_median,0.0011024447032203552
pair13_rssi1_std,0.0010840922613010986
pair23_rssi2_min,0.001068046552682463
pair23_rssi1_min,0.001063399219774724
pair13_rssi_diff_std,0.001012467866343638
pair13_power2_std,0.0010109320559454438
pair24_power_diff_min,0.0009805558723003515
pair23_rssi_mean_min,0.0009733687837770843
pair13_power_ratio_min,0.0009577184206498559
pair23_rssi_mean_mean,0.0009522602193284926
pair14_rssi2_max,0.0009202600832562372
pair13_power_diff_max,0.0004834687753864463
angle_deg_std,0.0
angle_deg_min,0.0
angle_deg_max,0.0
frequency_mhz_median,0.0
frequency_mhz_mean,0.0
frequency_mhz_std,0.0
frequency_mhz_min,0.0
frequency_mhz_max,0.0
angle_deg,0.0
frequency_mhz,0.0
angle_deg_median,0.0
angle_deg_mean,0.0
