,precision,recall,f1-score,support
-60.0,0.5715440582053355,0.7718340611353712,0.6567580120761728,916.0
-45.0,0.6445264452644527,0.5726775956284152,0.6064814814814815,915.0
-30.0,0.6442307692307693,0.5103373231773667,0.5695203400121432,919.0
-15.0,0.6725860155382908,0.6523143164693218,0.6622950819672131,929.0
0.0,0.9364864864864865,0.924,0.9302013422818792,750.0
15.0,0.6440489432703004,0.6232508073196986,0.6334792122538293,929.0
30.0,0.6389261744966444,0.5179542981501633,0.5721153846153846,919.0
45.0,0.6403402187120292,0.5759562841530055,0.6064441887226697,915.0
60.0,0.5499181669394435,0.7336244541484717,0.6286248830682881,916.0
accuracy,0.6478786383818451,0.6478786383818451,0.6478786383818451,0.6478786383818451
macro avg,0.660289697571528,0.653549904464646,0.6517688807198957,8108.0
weighted avg,0.654619187056566,0.6478786383818451,0.6460071876127997,8108.0
