feature,importance
pair14_power_diff,0.18615304
pair13_rssi2,0.11016029
pair13_power2,0.0644691
pair14_power_ratio,0.052266225
pair24_rssi_mean,0.04580078
pair13_power_diff,0.04307274
pair23_power_diff,0.033347234
pair23_power2,0.030056037
pair23_power_ratio,0.030003792
pair14_power2,0.02822062
pair13_power_ratio,0.026280133
pair14_power1,0.024893746
pair14_rssi2,0.02426003
pair14_rssi_mean,0.023942254
pair13_rssi_mean,0.023489613
pair13_power1,0.022488954
pair13_rssi_diff,0.021436319
pair13_rssi1,0.020078292
pair24_rssi2,0.019638857
pair23_rssi_diff,0.019628748
pair23_rssi2,0.019580051
pair24_power2,0.01898049
pair14_rssi_diff,0.016974332
pair24_power1,0.016612217
pair14_rssi1,0.016440637
pair24_rssi1,0.016418686
pair23_power1,0.011026661
pair23_rssi_mean,0.009645879
pair23_rssi1,0.009630063
pair24_power_ratio,0.0066411537
pair24_power_diff,0.004900934
pair24_rssi_diff,0.0034620997
frequency_mhz,0.0
